Appointment_ID,Appointment_Date,Department,Provider,Appointment_Type,Scheduled_Hour,Slot_Duration_Mins,Wait_Time_Mins,Status,Billing_Amount,Claim_Status,Claim_Turnaround_Days
APT0021,2024-01-30,General Practice,Dr. Brown,New Patient,11,45,20,Completed,159.96,Paid,12.0
APT0022,2024-03-06,Cardiology,Dr. Smith,Follow-Up,15,30,43,Completed,285.54,Paid,11.0
APT0023,2024-10-03,Pediatrics,Dr. Wilson,Urgent Care,11,45,22,Cancelled,0.0,N/A,
APT0024,2024-09-21,General Practice,Dr. Garcia,Follow-Up,15,30,4,Completed,257.29,Denied,10.0
APT0025,2024-10-28,Cardiology,Dr. Smith,New Patient,11,45,37,Completed,595.49,Paid,22.0
APT0026,2024-01-17,Orthopedics,Dr. Johnson,Follow-Up,13,30,37,Completed,294.93,Paid,17.0
APT0027,2024-10-19,Orthopedics,Dr. Johnson,Follow-Up,17,30,32,Completed,649.23,Paid,9.0
APT0028,2024-02-19,Orthopedics,Dr. Johnson,Urgent Care,14,45,28,Cancelled,0.0,N/A,
APT0029,2024-02-01,Cardiology,Dr. Smith,New Patient,14,45,30,Cancelled,0.0,N/A,
APT0030,2024-03-12,Orthopedics,Dr. Lee,Annual Checkup,14,30,46,No-Show,0.0,N/A,
APT0031,2024-10-08,Cardiology,Dr. Patel,New Patient,9,45,38,Completed,778.3,Pending,7.0
APT0032,2024-09-05,Orthopedics,Dr. Lee,Urgent Care,15,45,38,No-Show,0.0,N/A,
APT0033,2024-01-02,Orthopedics,Dr. Lee,Urgent Care,14,45,31,Cancelled,0.0,N/A,
APT0034,2024-03-20,Dermatology,Dr. Nguyen,Follow-Up,11,30,15,Cancelled,0.0,N/A,
APT0035,2024-06-09,Dermatology,Dr. Davis,Urgent Care,8,45,25,Completed,452.0,Paid,24.0
APT0036,2024-09-17,Orthopedics,Dr. Johnson,New Patient,9,45,44,No-Show,0.0,N/A,
APT0037,2024-03-02,Orthopedics,Dr. Lee,New Patient,17,45,27,No-Show,0.0,N/A,
APT0038,2024-05-13,Pediatrics,Dr. Chen,Follow-Up,11,30,18,Cancelled,0.0,N/A,
APT0039,2024-08-22,Orthopedics,Dr. Lee,New Patient,13,45,38,Completed,420.8,Paid,24.0
APT0040,2024-10-02,Cardiology,Dr. Smith,Annual Checkup,11,30,30,Completed,192.72,Denied,17.0
APT0041,2024-07-08,Cardiology,Dr. Smith,Urgent Care,12,45,24,No-Show,0.0,N/A,
APT0042,2024-11-30,General Practice,Dr. Kim,Annual Checkup,16,30,10,Completed,752.23,Paid,23.0
APT0043,2024-02-29,Orthopedics,Dr. Lee,Follow-Up,9,30,49,Completed,290.64,Paid,18.0
APT0044,2024-04-14,Orthopedics,Dr. Lee,Urgent Care,12,45,45,Completed,275.78,Paid,20.0
APT0045,2024-05-21,Cardiology,Dr. Patel,Annual Checkup,8,30,29,Completed,639.78,Denied,20.0
APT0046,2024-10-09,Orthopedics,Dr. Lee,New Patient,14,45,50,Completed,178.31,Pending,18.0
APT0047,2024-07-08,Dermatology,Dr. Davis,Follow-Up,17,30,33,Completed,400.85,Paid,5.0
APT0048,2024-01-21,General Practice,Dr. Garcia,Follow-Up,13,30,27,No-Show,0.0,N/A,
APT0049,2024-07-27,General Practice,Dr. Kim,Follow-Up,17,30,21,No-Show,0.0,N/A,
APT0050,2024-01-13,Orthopedics,Dr. Lee,Urgent Care,10,45,32,Cancelled,0.0,N/A,
APT0051,2024-03-22,Orthopedics,Dr. Lee,New Patient,9,45,36,Completed,701.02,Pending,6.0
APT0052,2024-06-28,Orthopedics,Dr. Lee,Follow-Up,12,30,33,No-Show,0.0,N/A,
APT0053,2024-06-17,Orthopedics,Dr. Lee,Annual Checkup,12,30,39,Completed,345.8,Paid,27.0
APT0054,2024-01-15,Pediatrics,Dr. Chen,Follow-Up,9,30,16,Cancelled,0.0,N/A,
APT0055,2024-02-25,General Practice,Dr. Brown,Annual Checkup,17,30,14,Completed,609.98,Denied,15.0
APT0056,2024-07-16,Pediatrics,Dr. Wilson,Annual Checkup,17,30,27,No-Show,0.0,N/A,
APT0057,2024-09-23,Pediatrics,Dr. Wilson,Annual Checkup,16,30,23,No-Show,0.0,N/A,
APT0058,2024-06-09,General Practice,Dr. Kim,Annual Checkup,9,30,16,Cancelled,0.0,N/A,
APT0059,2024-12-22,General Practice,Dr. Garcia,Follow-Up,12,30,24,Completed,234.29,Paid,19.0
APT0060,2024-07-26,Orthopedics,Dr. Lee,Annual Checkup,16,30,45,Completed,300.84,Paid,14.0
APT0061,2024-08-26,Dermatology,Dr. Nguyen,Follow-Up,15,30,17,Completed,457.82,Pending,16.0
APT0062,2024-09-20,Cardiology,Dr. Patel,New Patient,17,45,20,Cancelled,0.0,N/A,
APT0063,2024-04-25,Orthopedics,Dr. Lee,New Patient,11,45,38,No-Show,0.0,N/A,
APT0064,2024-08-21,Pediatrics,Dr. Wilson,Follow-Up,14,30,22,Completed,602.84,Paid,18.0
APT0065,2024-05-04,Pediatrics,Dr. Chen,New Patient,10,45,18,Completed,644.89,Pending,10.0
APT0066,2024-01-26,Orthopedics,Dr. Lee,New Patient,16,45,31,No-Show,0.0,N/A,
APT0067,2024-08-14,Pediatrics,Dr. Chen,Urgent Care,17,45,17,Completed,681.4,Paid,13.0
APT0068,2024-08-31,Pediatrics,Dr. Wilson,Follow-Up,15,30,19,Cancelled,0.0,N/A,
APT0069,2024-09-05,General Practice,Dr. Kim,Urgent Care,11,45,23,Cancelled,0.0,N/A,
APT0070,2024-05-19,General Practice,Dr. Brown,New Patient,13,45,35,Cancelled,0.0,N/A,
APT0071,2024-12-21,Orthopedics,Dr. Lee,New Patient,10,45,37,No-Show,0.0,N/A,
APT0072,2024-08-26,General Practice,Dr. Kim,Follow-Up,14,30,22,Completed,683.02,Paid,18.0
APT0073,2024-10-21,Dermatology,Dr. Davis,New Patient,14,45,5,Completed,759.92,Denied,18.0
APT0074,2024-10-02,Pediatrics,Dr. Chen,Follow-Up,16,30,20,Completed,441.76,Denied,33.0
APT0075,2024-01-15,Pediatrics,Dr. Chen,Urgent Care,14,45,18,Cancelled,0.0,N/A,
APT0076,2024-11-14,Pediatrics,Dr. Wilson,Urgent Care,16,45,22,Completed,514.32,Paid,18.0
APT0077,2024-03-10,Cardiology,Dr. Patel,New Patient,15,45,23,No-Show,0.0,N/A,
APT0078,2024-08-20,General Practice,Dr. Brown,Urgent Care,13,45,29,Cancelled,0.0,N/A,
APT0079,2024-02-11,Pediatrics,Dr. Chen,New Patient,15,45,26,Completed,799.94,Denied,23.0
APT0080,2024-11-29,Orthopedics,Dr. Johnson,Follow-Up,8,30,26,Completed,239.55,Paid,26.0
APT0081,2024-05-02,Dermatology,Dr. Davis,New Patient,10,45,9,Completed,494.78,Pending,22.0
APT0082,2024-07-07,Pediatrics,Dr. Chen,New Patient,10,45,38,Completed,644.45,Pending,12.0
APT0083,2024-10-23,General Practice,Dr. Brown,Urgent Care,8,45,15,Cancelled,0.0,N/A,
APT0084,2024-10-30,Orthopedics,Dr. Johnson,Annual Checkup,11,30,36,Completed,695.21,Paid,15.0
APT0085,2024-06-26,Cardiology,Dr. Smith,Annual Checkup,16,30,19,Completed,148.27,Denied,18.0
APT0086,2024-09-07,Cardiology,Dr. Patel,Annual Checkup,9,30,24,Completed,544.91,Paid,21.0
APT0087,2024-03-31,Orthopedics,Dr. Lee,Urgent Care,16,45,26,Cancelled,0.0,N/A,
APT0088,2024-06-14,Dermatology,Dr. Nguyen,Annual Checkup,11,30,32,Completed,717.14,Pending,13.0
APT0089,2024-06-21,Pediatrics,Dr. Chen,Annual Checkup,8,30,17,Completed,227.29,Pending,23.0
APT0090,2024-06-23,General Practice,Dr. Garcia,Annual Checkup,12,30,10,Completed,489.05,Paid,19.0
APT0091,2024-05-03,Orthopedics,Dr. Johnson,Follow-Up,14,30,48,Completed,583.43,Paid,8.0
APT0092,2024-02-17,Pediatrics,Dr. Wilson,Urgent Care,12,45,21,No-Show,0.0,N/A,
APT0093,2024-10-24,General Practice,Dr. Kim,Annual Checkup,13,30,22,Completed,397.85,Paid,23.0
APT0094,2024-12-25,General Practice,Dr. Garcia,Annual Checkup,15,30,10,Cancelled,0.0,N/A,
APT0095,2024-06-10,Cardiology,Dr. Smith,Follow-Up,9,30,22,Completed,234.08,Paid,21.0
APT0096,2024-10-28,General Practice,Dr. Kim,Annual Checkup,16,30,22,Completed,786.36,Pending,20.0
APT0097,2024-07-03,General Practice,Dr. Brown,New Patient,10,45,23,Cancelled,0.0,N/A,
APT0098,2024-01-24,Orthopedics,Dr. Lee,Annual Checkup,8,30,28,Completed,588.19,Pending,19.0
APT0099,2024-01-07,Pediatrics,Dr. Wilson,Urgent Care,17,45,22,Cancelled,0.0,N/A,
APT0100,2024-01-27,General Practice,Dr. Brown,New Patient,12,45,14,Completed,675.48,Paid,29.0
APT0101,2024-10-22,Pediatrics,Dr. Wilson,Follow-Up,8,30,24,No-Show,0.0,N/A,
APT0102,2024-05-07,General Practice,Dr. Brown,Urgent Care,9,45,10,Completed,524.42,Paid,22.0
APT0103,2024-08-18,Orthopedics,Dr. Lee,Urgent Care,15,45,25,Cancelled,0.0,N/A,
APT0104,2024-11-08,Dermatology,Dr. Davis,Follow-Up,9,30,26,No-Show,0.0,N/A,
APT0105,2024-05-02,Cardiology,Dr. Smith,New Patient,10,45,47,Completed,209.57,Paid,13.0
APT0106,2024-05-29,Pediatrics,Dr. Chen,Annual Checkup,8,30,28,No-Show,0.0,N/A,
APT0107,2024-12-17,Pediatrics,Dr. Wilson,Follow-Up,11,30,23,Cancelled,0.0,N/A,
APT0108,2024-11-27,Dermatology,Dr. Davis,Follow-Up,10,30,27,Cancelled,0.0,N/A,
APT0109,2024-10-31,Orthopedics,Dr. Lee,Urgent Care,17,45,54,Cancelled,0.0,N/A,
APT0110,2024-07-25,General Practice,Dr. Kim,Urgent Care,12,45,18,Completed,406.43,Paid,13.0
APT0111,2024-06-14,Cardiology,Dr. Patel,New Patient,17,45,26,Cancelled,0.0,N/A,
APT0112,2024-12-10,Dermatology,Dr. Davis,New Patient,12,45,13,Completed,634.18,Pending,18.0
APT0113,2024-05-22,Pediatrics,Dr. Chen,Urgent Care,10,45,23,Completed,544.35,Paid,20.0
APT0114,2024-06-27,Cardiology,Dr. Patel,Annual Checkup,14,30,43,Cancelled,0.0,N/A,
APT0115,2024-07-29,Orthopedics,Dr. Lee,Urgent Care,15,45,35,Cancelled,0.0,N/A,
APT0116,2024-08-20,Dermatology,Dr. Davis,Annual Checkup,9,30,32,Cancelled,0.0,N/A,
APT0117,2024-12-02,Pediatrics,Dr. Wilson,Urgent Care,16,45,18,Completed,137.94,Paid,34.0
APT0118,2024-09-12,General Practice,Dr. Kim,Follow-Up,15,30,25,Completed,286.94,Pending,13.0
APT0119,2024-12-23,General Practice,Dr. Garcia,New Patient,15,45,11,Completed,781.2,Paid,21.0
APT0120,2024-06-08,Orthopedics,Dr. Johnson,Urgent Care,16,45,33,Completed,165.25,Paid,22.0
APT0121,2024-11-27,Pediatrics,Dr. Wilson,Annual Checkup,10,30,24,Completed,456.21,Denied,18.0
APT0122,2024-08-29,Pediatrics,Dr. Chen,Follow-Up,11,30,13,Completed,368.51,Paid,9.0
APT0123,2024-02-05,Dermatology,Dr. Davis,Annual Checkup,12,30,16,Completed,753.97,Paid,23.0
APT0124,2024-05-24,General Practice,Dr. Brown,Urgent Care,12,45,22,Completed,705.68,Paid,11.0
APT0125,2024-06-25,Dermatology,Dr. Nguyen,Urgent Care,13,45,21,Completed,418.74,Denied,20.0
APT0126,2024-10-19,Orthopedics,Dr. Johnson,Urgent Care,14,45,26,No-Show,0.0,N/A,
APT0127,2024-07-16,Pediatrics,Dr. Chen,New Patient,10,45,21,Completed,188.37,Paid,18.0
APT0128,2024-08-13,General Practice,Dr. Brown,Urgent Care,9,45,11,Completed,110.74,Pending,20.0
APT0129,2024-02-08,Pediatrics,Dr. Wilson,Annual Checkup,15,30,24,Cancelled,0.0,N/A,
APT0130,2024-06-17,Pediatrics,Dr. Wilson,Annual Checkup,16,30,29,Completed,538.76,Paid,24.0
APT0131,2024-11-12,Dermatology,Dr. Davis,Annual Checkup,9,30,9,No-Show,0.0,N/A,
APT0132,2024-02-20,Cardiology,Dr. Patel,Follow-Up,9,30,26,Completed,585.8,Paid,21.0
APT0133,2024-01-29,Cardiology,Dr. Patel,Annual Checkup,12,30,40,Cancelled,0.0,N/A,
APT0134,2024-10-16,Orthopedics,Dr. Lee,Follow-Up,10,30,40,No-Show,0.0,N/A,
APT0135,2024-09-11,Pediatrics,Dr. Wilson,Follow-Up,17,30,51,No-Show,0.0,N/A,
APT0136,2024-05-10,General Practice,Dr. Garcia,Annual Checkup,8,30,25,Completed,574.33,Pending,25.0
APT0137,2024-06-25,Cardiology,Dr. Patel,Urgent Care,17,45,45,Cancelled,0.0,N/A,
APT0138,2024-04-11,Pediatrics,Dr. Chen,New Patient,14,45,25,Completed,266.04,Paid,16.0
APT0139,2024-05-31,General Practice,Dr. Kim,Urgent Care,12,45,26,Completed,292.14,Paid,13.0
APT0140,2024-05-26,Cardiology,Dr. Patel,Annual Checkup,11,30,33,Completed,253.3,Pending,15.0
APT0141,2024-12-13,Dermatology,Dr. Nguyen,New Patient,10,45,21,Completed,316.25,Paid,32.0
APT0142,2024-03-08,Cardiology,Dr. Patel,Annual Checkup,9,30,16,Cancelled,0.0,N/A,
APT0143,2024-03-08,Orthopedics,Dr. Johnson,Annual Checkup,16,30,42,Cancelled,0.0,N/A,
APT0144,2024-05-31,General Practice,Dr. Garcia,Urgent Care,13,45,7,Completed,774.03,Pending,15.0
APT0145,2024-10-12,Orthopedics,Dr. Lee,Urgent Care,13,45,46,Completed,109.74,Paid,18.0
APT0146,2024-07-07,Cardiology,Dr. Patel,Urgent Care,12,45,24,Completed,675.69,Denied,14.0
APT0147,2024-08-29,Cardiology,Dr. Smith,Annual Checkup,8,30,42,Completed,740.68,Pending,14.0
APT0148,2024-12-24,Cardiology,Dr. Patel,New Patient,12,45,37,Completed,197.84,Paid,18.0
APT0149,2024-02-29,General Practice,Dr. Garcia,Follow-Up,9,30,15,No-Show,0.0,N/A,
APT0150,2024-12-22,General Practice,Dr. Kim,Follow-Up,16,30,37,Completed,719.79,Paid,22.0
APT0151,2024-05-23,Pediatrics,Dr. Chen,Follow-Up,8,30,4,Cancelled,0.0,N/A,
APT0152,2024-02-20,Orthopedics,Dr. Lee,Annual Checkup,13,30,37,Completed,142.39,Denied,14.0
APT0153,2024-08-20,Orthopedics,Dr. Johnson,New Patient,9,45,44,No-Show,0.0,N/A,
APT0154,2024-03-05,General Practice,Dr. Brown,New Patient,17,45,14,No-Show,0.0,N/A,
APT0155,2024-10-27,Dermatology,Dr. Davis,Annual Checkup,11,30,19,No-Show,0.0,N/A,
APT0156,2024-05-21,Dermatology,Dr. Davis,Annual Checkup,10,30,24,No-Show,0.0,N/A,
APT0157,2024-03-08,Cardiology,Dr. Smith,Follow-Up,8,30,44,Cancelled,0.0,N/A,
APT0158,2024-05-15,Cardiology,Dr. Smith,Urgent Care,8,45,23,No-Show,0.0,N/A,
APT0159,2024-08-17,Cardiology,Dr. Patel,New Patient,13,45,32,Completed,416.4,Pending,15.0
APT0160,2024-12-03,Dermatology,Dr. Davis,Urgent Care,16,45,15,Cancelled,0.0,N/A,
APT0161,2024-09-02,Cardiology,Dr. Smith,New Patient,14,45,53,Completed,443.19,Paid,20.0
APT0162,2024-06-13,Cardiology,Dr. Smith,New Patient,17,45,22,No-Show,0.0,N/A,
APT0163,2024-07-14,Dermatology,Dr. Nguyen,Annual Checkup,17,30,27,Completed,417.6,Paid,31.0
APT0164,2024-12-25,Pediatrics,Dr. Wilson,Follow-Up,9,30,28,Completed,401.05,Pending,9.0
APT0165,2024-08-20,Pediatrics,Dr. Chen,New Patient,14,45,16,Completed,318.78,Denied,26.0
APT0166,2024-03-19,General Practice,Dr. Garcia,New Patient,15,45,14,Completed,682.24,Paid,21.0
APT0167,2024-07-09,Pediatrics,Dr. Wilson,New Patient,10,45,26,Completed,510.53,Paid,12.0
APT0168,2024-12-09,Dermatology,Dr. Nguyen,Annual Checkup,9,30,20,Completed,711.53,Paid,5.0
APT0169,2024-11-03,Cardiology,Dr. Patel,New Patient,12,45,25,Cancelled,0.0,N/A,
APT0170,2024-12-02,Orthopedics,Dr. Johnson,New Patient,15,45,32,No-Show,0.0,N/A,
APT0171,2024-02-28,Dermatology,Dr. Nguyen,Follow-Up,12,30,10,Completed,665.05,Paid,28.0
APT0172,2024-11-07,Dermatology,Dr. Davis,Follow-Up,12,30,9,Completed,291.29,Denied,15.0
APT0173,2024-01-04,General Practice,Dr. Garcia,Urgent Care,10,45,21,No-Show,0.0,N/A,
APT0174,2024-09-28,Cardiology,Dr. Smith,Urgent Care,11,45,49,Completed,417.55,Pending,9.0
APT0175,2024-06-15,General Practice,Dr. Garcia,New Patient,17,45,29,Completed,718.34,Pending,18.0
APT0176,2024-12-11,Orthopedics,Dr. Johnson,Urgent Care,9,45,25,Cancelled,0.0,N/A,
APT0177,2024-07-31,Pediatrics,Dr. Chen,New Patient,12,45,24,No-Show,0.0,N/A,
APT0178,2024-12-13,Cardiology,Dr. Patel,Annual Checkup,17,30,37,Completed,131.79,Paid,14.0
APT0179,2024-01-04,Dermatology,Dr. Davis,Follow-Up,11,30,21,Cancelled,0.0,N/A,
APT0180,2024-06-16,General Practice,Dr. Garcia,Urgent Care,9,45,17,Completed,622.91,Pending,19.0
APT0181,2024-09-29,Orthopedics,Dr. Lee,Annual Checkup,11,30,42,Completed,150.45,Paid,28.0
APT0182,2024-08-23,Pediatrics,Dr. Wilson,Urgent Care,9,45,10,Cancelled,0.0,N/A,
APT0183,2024-02-28,Pediatrics,Dr. Chen,Annual Checkup,14,30,37,Completed,220.31,Paid,6.0
APT0184,2024-02-15,Pediatrics,Dr. Chen,Follow-Up,14,30,19,Completed,404.97,Paid,22.0
APT0185,2024-07-21,Dermatology,Dr. Davis,Follow-Up,12,30,22,Cancelled,0.0,N/A,
APT0186,2024-09-18,Orthopedics,Dr. Johnson,Follow-Up,9,30,29,Completed,734.15,Denied,17.0
APT0187,2024-11-26,General Practice,Dr. Kim,New Patient,10,45,16,No-Show,0.0,N/A,
APT0188,2024-11-04,Orthopedics,Dr. Johnson,Follow-Up,10,30,29,Completed,765.9,Paid,23.0
APT0189,2024-12-14,Pediatrics,Dr. Chen,Annual Checkup,17,30,23,Completed,704.97,Denied,14.0
APT0190,2024-02-04,Orthopedics,Dr. Lee,Annual Checkup,15,30,44,Completed,657.43,Paid,20.0
APT0191,2024-09-16,Cardiology,Dr. Patel,Urgent Care,9,45,43,Cancelled,0.0,N/A,
APT0192,2024-05-26,Cardiology,Dr. Patel,Urgent Care,9,45,41,Completed,423.9,Paid,13.0
APT0193,2024-10-19,Cardiology,Dr. Patel,Urgent Care,11,45,29,Cancelled,0.0,N/A,
APT0194,2024-02-22,Cardiology,Dr. Patel,Follow-Up,13,30,42,Completed,127.4,Paid,22.0
APT0195,2024-07-05,Pediatrics,Dr. Wilson,Urgent Care,13,45,20,Cancelled,0.0,N/A,
APT0196,2024-11-02,General Practice,Dr. Kim,New Patient,8,45,21,Cancelled,0.0,N/A,
APT0197,2024-05-25,Dermatology,Dr. Nguyen,Follow-Up,12,30,30,Completed,333.35,Paid,14.0
APT0198,2024-06-07,Orthopedics,Dr. Lee,New Patient,14,45,40,No-Show,0.0,N/A,
APT0199,2024-03-06,Pediatrics,Dr. Chen,Urgent Care,16,45,18,Completed,455.94,Paid,17.0
APT0200,2024-04-02,General Practice,Dr. Garcia,Urgent Care,11,45,29,Cancelled,0.0,N/A,
APT0201,2024-02-09,Orthopedics,Dr. Johnson,New Patient,12,45,43,Completed,563.35,Paid,23.0
APT0202,2024-03-19,Orthopedics,Dr. Lee,Follow-Up,10,30,48,No-Show,0.0,N/A,
APT0203,2024-07-05,Cardiology,Dr. Patel,Annual Checkup,11,30,35,Completed,626.67,Paid,22.0
APT0204,2024-06-07,Orthopedics,Dr. Johnson,Annual Checkup,15,30,32,No-Show,0.0,N/A,
APT0205,2024-08-24,Dermatology,Dr. Nguyen,Urgent Care,12,45,23,Completed,776.39,Pending,17.0
APT0206,2024-05-08,Dermatology,Dr. Davis,Annual Checkup,8,30,21,Completed,488.18,Paid,22.0
APT0207,2024-05-25,Dermatology,Dr. Davis,Annual Checkup,9,30,13,No-Show,0.0,N/A,
APT0208,2024-08-11,Dermatology,Dr. Davis,Urgent Care,9,45,37,No-Show,0.0,N/A,
APT0209,2024-01-28,Cardiology,Dr. Patel,Annual Checkup,14,30,25,Completed,265.04,Paid,11.0
APT0210,2024-01-15,General Practice,Dr. Brown,Annual Checkup,13,30,29,Completed,653.97,Pending,23.0
APT0211,2024-08-29,Cardiology,Dr. Patel,Urgent Care,10,45,41,Completed,530.74,Paid,22.0
APT0212,2024-04-20,Cardiology,Dr. Patel,Urgent Care,10,45,35,Completed,177.83,Denied,13.0
APT0213,2024-03-03,Orthopedics,Dr. Lee,Urgent Care,8,45,36,No-Show,0.0,N/A,
APT0214,2024-02-02,Dermatology,Dr. Nguyen,New Patient,9,45,15,Completed,542.37,Paid,24.0
APT0215,2024-05-29,Orthopedics,Dr. Johnson,Annual Checkup,14,30,34,Completed,268.39,Paid,13.0
APT0216,2024-09-25,Orthopedics,Dr. Johnson,New Patient,13,45,32,Completed,373.32,Paid,20.0
APT0217,2024-07-10,Cardiology,Dr. Patel,Annual Checkup,12,30,29,Completed,651.96,Denied,13.0
APT0218,2024-10-24,Orthopedics,Dr. Johnson,New Patient,13,45,37,No-Show,0.0,N/A,
APT0219,2024-03-30,General Practice,Dr. Kim,Follow-Up,15,30,22,Completed,668.05,Paid,15.0
APT0220,2024-05-30,Pediatrics,Dr. Wilson,Follow-Up,11,30,16,Completed,720.05,Denied,19.0
APT0221,2024-07-22,General Practice,Dr. Kim,Annual Checkup,16,30,8,Completed,125.63,Pending,10.0
APT0222,2024-01-25,General Practice,Dr. Garcia,New Patient,13,45,14,Cancelled,0.0,N/A,
APT0223,2024-08-13,Pediatrics,Dr. Chen,Follow-Up,14,30,18,Cancelled,0.0,N/A,
APT0224,2024-09-22,Pediatrics,Dr. Chen,Urgent Care,12,45,22,Completed,155.25,Paid,27.0
APT0225,2024-06-13,Orthopedics,Dr. Lee,Annual Checkup,9,30,44,Completed,562.64,Denied,17.0
APT0226,2024-03-26,Pediatrics,Dr. Chen,Urgent Care,15,45,20,Cancelled,0.0,N/A,
APT0227,2024-08-10,General Practice,Dr. Kim,New Patient,12,45,12,Completed,569.83,Paid,18.0
APT0228,2024-12-13,General Practice,Dr. Kim,Follow-Up,10,30,18,Completed,694.07,Paid,20.0
APT0229,2024-02-04,Cardiology,Dr. Smith,Annual Checkup,11,30,27,Cancelled,0.0,N/A,
APT0230,2024-11-05,Dermatology,Dr. Davis,Annual Checkup,10,30,24,Completed,360.41,Paid,27.0
APT0231,2024-09-28,Dermatology,Dr. Davis,Annual Checkup,13,30,19,Completed,554.69,Pending,20.0
APT0232,2024-04-05,Cardiology,Dr. Smith,Urgent Care,15,45,42,Completed,739.48,Paid,16.0
APT0233,2024-12-26,General Practice,Dr. Garcia,Annual Checkup,15,30,22,No-Show,0.0,N/A,
APT0234,2024-03-03,Pediatrics,Dr. Wilson,Urgent Care,10,45,20,Completed,220.86,Paid,19.0
APT0235,2024-12-07,Cardiology,Dr. Patel,Annual Checkup,13,30,27,Completed,723.93,Pending,18.0
APT0236,2024-09-17,Orthopedics,Dr. Lee,Follow-Up,11,30,40,Completed,654.45,Pending,27.0
APT0237,2024-07-03,Pediatrics,Dr. Wilson,Annual Checkup,16,30,28,Completed,427.18,Paid,31.0
APT0238,2024-02-03,Orthopedics,Dr. Johnson,Urgent Care,12,45,27,Completed,467.99,Paid,23.0
APT0239,2024-03-05,Dermatology,Dr. Davis,Urgent Care,13,45,21,Completed,426.08,Paid,31.0
APT0240,2024-10-09,General Practice,Dr. Brown,Follow-Up,17,30,14,No-Show,0.0,N/A,
APT0241,2024-09-22,Cardiology,Dr. Smith,Follow-Up,10,30,27,Cancelled,0.0,N/A,
APT0242,2024-09-22,Orthopedics,Dr. Lee,Annual Checkup,12,30,29,Completed,237.41,Paid,5.0
APT0243,2024-11-16,General Practice,Dr. Brown,New Patient,12,45,16,Completed,451.8,Pending,13.0
APT0244,2024-03-28,Dermatology,Dr. Davis,Annual Checkup,17,30,21,Completed,689.77,Paid,20.0
APT0245,2024-02-11,Cardiology,Dr. Smith,Annual Checkup,8,30,54,Completed,555.79,Paid,24.0
APT0246,2024-09-11,Pediatrics,Dr. Wilson,Annual Checkup,16,30,15,Cancelled,0.0,N/A,
APT0247,2024-08-20,Pediatrics,Dr. Chen,Follow-Up,9,30,13,Completed,407.72,Paid,21.0
APT0248,2024-06-23,Pediatrics,Dr. Wilson,Annual Checkup,17,30,9,No-Show,0.0,N/A,
APT0249,2024-06-25,General Practice,Dr. Kim,Annual Checkup,14,30,35,No-Show,0.0,N/A,
APT0250,2024-05-03,Cardiology,Dr. Patel,Annual Checkup,15,30,47,Completed,414.72,Pending,15.0
APT0251,2024-05-28,Cardiology,Dr. Smith,Urgent Care,14,45,18,Completed,273.79,Pending,26.0
APT0252,2024-06-09,General Practice,Dr. Kim,Urgent Care,11,45,19,No-Show,0.0,N/A,
